ID,Pred
2015_1107_1112,0.0664116918087783
2015_1107_1116,0.156944408543805
2015_1107_1124,0.10717436711492401
2015_1107_1125,0.5008336203839721
2015_1107_1129,0.20521634326145
2015_1107_1138,0.448919008287699
2015_1107_1139,0.152888813866859
2015_1107_1140,0.392523059061059
2015_1107_1153,0.28435184133258
2015_1107_1157,0.510394660755794
2015_1107_1172,0.2911701842988
2015_1107_1173,0.27529715859647896
2015_1107_1181,0.0671517102355634
2015_1107_1186,0.526745149917384
2015_1107_1207,0.132607529275476
2015_1107_1208,0.34273178922741493
2015_1107_1209,0.434855770215957
2015_1107_1211,0.0948944326507406
2015_1107_1214,0.510941159343082
2015_1107_1217,0.5042125386662639
2015_1107_1231,0.35635682568461796
2015_1107_1234,0.20858740885054602
2015_1107_1235,0.13575312837765902
2015_1107_1242,0.111440942818359
2015_1107_1246,0.043970846292575104
2015_1107_1248,0.559485356603759
2015_1107_1257,0.114344977300789
2015_1107_1261,0.397215727191487
2015_1107_1264,0.51922987723487
2015_1107_1268,0.193082244937504
2015_1107_1277,0.18039560290668902
2015_1107_1279,0.24760929164304202
2015_1107_1295,0.501493317007322
2015_1107_1301,0.27512676961002397
2015_1107_1308,0.46418020419365996
2015_1107_1314,0.157254232990943
2015_1107_1316,0.5405456955397221
2015_1107_1318,0.513233592728616
2015_1107_1320,0.142903282195542
2015_1107_1323,0.144318004107911
2015_1107_1326,0.208247208581945
2015_1107_1328,0.0893946223367545
2015_1107_1329,0.32651759378329603
2015_1107_1332,0.324355515826031
2015_1107_1344,0.191247528757484
2015_1107_1345,0.31626181657932
2015_1107_1352,0.523366952970187
2015_1107_1361,0.251241681172856
2015_1107_1372,0.361843936112867
2015_1107_1374,0.144365349037136
2015_1107_1385,0.37372311373435796
2015_1107_1400,0.319707265528746
2015_1107_1411,0.510713393057741
2015_1107_1412,0.489952705527618
2015_1107_1414,0.47661255099777006
2015_1107_1417,0.25345968953924397
2015_1107_1428,0.0936168776417254
2015_1107_1433,0.159074587705884
2015_1107_1434,0.449773206436058
2015_1107_1437,0.0501977633794634
2015_1107_1438,0.0757224496957691
2015_1107_1452,0.11685664605530499
2015_1107_1455,0.15562097043776701
2015_1107_1458,0.0468229789860993
2015_1107_1459,0.443359208917683
2015_1107_1461,0.442517931692892
2015_1107_1462,0.18821614615643803
2015_1112_1116,0.8229963350811259
2015_1112_1124,0.6858821046661079
2015_1112_1125,0.9570144366233431
2015_1112_1129,0.815195472505177
